"25.
Mission: Impossible II
(2000)",(2000),PG-13,123 min,"Action, Adventure, Thriller",6.1,"59        
        Metascore","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","Votes:
361,165
| Gross:
$215.41M"
"27.
Fast X
(2023)",(2023),PG-13,141 min,"Action, Adventure, Crime",5.9,"56        
        Metascore",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Votes:
80,114"
"28.
Top Gun: Maverick
(2022)",(2022),PG-13,130 min,"Action, Drama",8.3,"78        
        Metascore","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Votes:
610,958
| Gross:
$718.73M"
"29.
Dune
(2021)",(2021),PG-13,155 min,"Action, Adventure, Drama",8.0,"74        
        Metascore",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Votes:
694,706
| Gross:
$108.33M"
"30.
Indiana Jones and the Kingdom of the Crystal Skull
(2008)",(2008),PG-13,122 min,"Action, Adventure",6.2,"65        
        Metascore","In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","Votes:
476,598
| Gross:
$317.10M"
"31.
Indiana Jones and the Last Crusade
(1989)",(1989),PG-13,127 min,"Action, Adventure",8.2,"65        
        Metascore","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Votes:
784,459
| Gross:
$197.17M"
"33.
Extraction
(2020)",(2020),R,116 min,"Action, Thriller",6.8,"56        
        Metascore","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","Votes:
243,450"
"34.
Ruby Gillman, Teenage Kraken
(2023)",(2023),PG,91 min,"Animation, Action, Adventure",5.8,"50        
        Metascore","A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.","Votes:
3,429"
"35.
Indiana Jones and the Temple of Doom
(1984)",(1984),PG,118 min,"Action, Adventure",7.5,"57        
        Metascore","In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.","Votes:
517,154
| Gross:
$179.87M"
"37.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Votes:
610,338
| Gross:
$190.24M"
"38.
Sisu
(2022)",(2022),R,91 min,"Action, War",6.9,"70        
        Metascore","When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.","Votes:
45,318"
"39.
Inception
(2010)",(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"74        
        Metascore","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Votes:
2,434,671
| Gross:
$292.58M"
"40.
The Dark Knight
(2008)",(2008),PG-13,152 min,"Action, Crime, Drama",9.0,"84        
        Metascore","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,743,636
| Gross:
$534.86M"
"41.
Everything Everywhere All at Once
(2022)",(2022),R,139 min,"Action, Adventure, Comedy",7.8,"81        
        Metascore",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Votes:
464,253
| Gross:
$72.86M"
"42.
The Batman
(2022)",(2022),PG-13,176 min,"Action, Crime, Drama",7.8,"72        
        Metascore","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","Votes:
712,367
| Gross:
$369.35M"
"43.
Bullet Train
(2022)",(2022),R,127 min,"Action, Comedy, Thriller",7.3,"49        
        Metascore",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"Votes:
372,497
| Gross:
$103.37M"
"44.
Guardians of the Galaxy
(2014)",(2014),PG-13,121 min,"Action, Adventure, Comedy",8.0,"76        
        Metascore",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Votes:
1,230,424
| Gross:
$333.18M"
"46.
Knights of the Zodiac
(2023)",(2023),PG-13,112 min,"Action, Adventure, Drama",4.4,"35        
        Metascore","When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.","Votes:
6,834"
"47.
Kandahar
(2023)",(2023),R,119 min,"Action, Thriller",6.0,"52        
        Metascore",A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,"Votes:
14,077"
"48.
God Is a Bullet
(2023)",(2023),18+,156 min,"Action, Crime, Horror",5.4,"31        
        Metascore","Taking matters into his own hands, Detective Bob Hightower tries to infiltrate an evil cult to save his kidnapped daughter and avenge the murder of his wife.","Votes:
1,393"
"49.
Tenet
(2020)",(2020),PG-13,150 min,"Action, Sci-Fi, Thriller",7.3,"69        
        Metascore","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","Votes:
539,419
| Gross:
$58.46M"
"50.
Black Adam
(2022)",(2022),PG-13,125 min,"Action, Adventure, Fantasy",6.3,"41        
        Metascore","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","Votes:
253,466
| Gross:
$168.15M"
"1.
Mission: Impossible - Dead Reckoning Part One
(2023)",(2023),PG-13,163 min,"Action, Adventure, Thriller",8.1,"81        
        Metascore",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"Votes:
78,986"
"2.
Barbie
(I) (2023)",(I) (2023),PG-13,114 min,"Adventure, Comedy, Fantasy",7.7,"80        
        Metascore",Barbie suffers a crisis that leads her to question her world and her existence.,"Votes:
40,685"
"3.
Indiana Jones and the Dial of Destiny
(2023)",(2023),PG-13,154 min,"Action, Adventure",6.8,"58        
        Metascore",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"Votes:
79,432"
"5.
Guardians of the Galaxy Vol. 3
(2023)",(2023),PG-13,150 min,"Action, Adventure, Comedy",8.1,"64        
        Metascore","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Votes:
224,265"
"7.
Transformers: Rise of the Beasts
(2023)",(2023),PG-13,127 min,"Action, Adventure, Sci-Fi",6.2,"42        
        Metascore","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","Votes:
52,486"
"8.
Spider-Man: Across the Spider-Verse
(2023)",(2023),PG,140 min,"Animation, Action, Adventure",8.9,"86        
        Metascore","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Votes:
188,247"
"9.
Mission: Impossible - Fallout
(2018)",(2018),PG-13,147 min,"Action, Adventure, Thriller",7.7,"86        
        Metascore","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","Votes:
354,804
| Gross:
$220.16M"
"10.
65
(2023)",(2023),PG-13,93 min,"Action, Adventure, Drama",5.4,"40        
        Metascore",An astronaut crash lands on a mysterious planet only to discover he's not alone.,"Votes:
59,801"
"11.
The Flash
(2023)",(2023),PG-13,144 min,"Action, Adventure, Fantasy",7.0,"56        
        Metascore","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","Votes:
107,230"
"12.
Mission: Impossible
(1996)",(1996),PG-13,110 min,"Action, Adventure, Thriller",7.1,"59        
        Metascore","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.","Votes:
449,357
| Gross:
$180.98M"
"13.
Elemental
(2023)",(2023),PG,101 min,"Animation, Adventure, Comedy",7.1,"58        
        Metascore","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","Votes:
24,636"
"14.
Nimona
(2023)",(2023),PG,101 min,"Animation, Action, Adventure",7.6,"75        
        Metascore","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Votes:
18,691"
"15.
Mission: Impossible - Rogue Nation
(2015)",(2015),PG-13,131 min,"Action, Adventure, Thriller",7.4,"75        
        Metascore",Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Votes:
392,434
| Gross:
$195.04M"
"16.
Dungeons & Dragons: Honor Among Thieves
(2023)",(2023),PG-13,134 min,"Action, Adventure, Comedy",7.3,"72        
        Metascore","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Votes:
153,512"
"17.
Avatar: The Way of Water
(2022)",(2022),PG-13,192 min,"Action, Adventure, Fantasy",7.6,"67        
        Metascore","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","Votes:
435,524
| Gross:
$659.68M"
"19.
The Super Mario Bros. Movie
(2023)",(2023),PG,92 min,"Animation, Adventure, Comedy",7.1,"46        
        Metascore","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.","Votes:
163,437"
"20.
Raiders of the Lost Ark
(1981)",(1981),PG,115 min,"Action, Adventure",8.4,"85        
        Metascore","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Votes:
1,004,100
| Gross:
$248.16M"
"21.
The Little Mermaid
(I) (2023)",(I) (2023),PG,135 min,"Adventure, Family, Fantasy",7.2,"59        
        Metascore",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,"Votes:
95,023"
"22.
Mission: Impossible - Ghost Protocol
(2011)",(2011),PG-13,132 min,"Action, Adventure, Thriller",7.4,"73        
        Metascore","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Votes:
509,835
| Gross:
$209.40M"
"23.
Mission: Impossible III
(2006)",(2006),PG-13,126 min,"Action, Adventure, Thriller",6.9,"66        
        Metascore",IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,"Votes:
374,504
| Gross:
$134.03M"
"24.
Mission: Impossible II
(2000)",(2000),PG-13,123 min,"Action, Adventure, Thriller",6.1,"59        
        Metascore","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","Votes:
361,165
| Gross:
$215.41M"
"25.
Interstellar
(2014)",(2014),PG-13,169 min,"Adventure, Drama, Sci-Fi",8.7,"74        
        Metascore","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Votes:
1,941,732
| Gross:
$188.02M"
"26.
Fast X
(2023)",(2023),PG-13,141 min,"Action, Adventure, Crime",5.9,"56        
        Metascore",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Votes:
80,114"
"27.
Dune
(2021)",(2021),PG-13,155 min,"Action, Adventure, Drama",8.0,"74        
        Metascore",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Votes:
694,706
| Gross:
$108.33M"
"28.
Indiana Jones and the Kingdom of the Crystal Skull
(2008)",(2008),PG-13,122 min,"Action, Adventure",6.2,"65        
        Metascore","In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","Votes:
476,598
| Gross:
$317.10M"
"29.
Indiana Jones and the Last Crusade
(1989)",(1989),PG-13,127 min,"Action, Adventure",8.2,"65        
        Metascore","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Votes:
784,459
| Gross:
$197.17M"
"31.
Ruby Gillman, Teenage Kraken
(2023)",(2023),PG,91 min,"Animation, Action, Adventure",5.8,"50        
        Metascore","A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.","Votes:
3,429"
"32.
Indiana Jones and the Temple of Doom
(1984)",(1984),PG,118 min,"Action, Adventure",7.5,"57        
        Metascore","In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.","Votes:
517,154
| Gross:
$179.87M"
"34.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Votes:
610,338
| Gross:
$190.24M"
"35.
Inception
(2010)",(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"74        
        Metascore","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Votes:
2,434,671
| Gross:
$292.58M"
"36.
Everything Everywhere All at Once
(2022)",(2022),R,139 min,"Action, Adventure, Comedy",7.8,"81        
        Metascore",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Votes:
464,253
| Gross:
$72.86M"
"37.
Annihilation
(I) (2018)",(I) (2018),R,115 min,"Adventure, Drama, Horror",6.8,"79        
        Metascore","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","Votes:
343,780
| Gross:
$32.73M"
"38.
Guardians of the Galaxy
(2014)",(2014),PG-13,121 min,"Action, Adventure, Comedy",8.0,"76        
        Metascore",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Votes:
1,230,424
| Gross:
$333.18M"
"40.
Knights of the Zodiac
(2023)",(2023),PG-13,112 min,"Action, Adventure, Drama",4.4,"35        
        Metascore","When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.","Votes:
6,834"
"41.
Puss in Boots: The Last Wish
(2022)",(2022),PG,102 min,"Animation, Adventure, Comedy",7.9,"73        
        Metascore","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Votes:
142,285
| Gross:
$168.46M"
"42.
Black Adam
(2022)",(2022),PG-13,125 min,"Action, Adventure, Fantasy",6.3,"41        
        Metascore","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","Votes:
253,466
| Gross:
$168.15M"
"43.
Harry Potter and the Sorcerer's Stone
(2001)",(2001),PG,152 min,"Adventure, Family, Fantasy",7.6,"65        
        Metascore","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Votes:
815,937
| Gross:
$317.58M"
"44.
Ant-Man and the Wasp: Quantumania
(2023)",(2023),PG-13,124 min,"Action, Adventure, Comedy",6.1,"48        
        Metascore","Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","Votes:
191,377"
"46.
Transformers
(2007)",(2007),PG-13,144 min,"Action, Adventure, Sci-Fi",7.0,"61        
        Metascore","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","Votes:
658,848
| Gross:
$319.25M"
"47.
Jaws
(1975)",(1975),PG,124 min,"Adventure, Mystery, Thriller",8.1,"87        
        Metascore","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Votes:
631,413
| Gross:
$260.00M"
"48.
Spider-Man: No Way Home
(2021)",(2021),PG-13,148 min,"Action, Adventure, Fantasy",8.2,"71        
        Metascore","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Votes:
814,504
| Gross:
$804.75M"
"49.
Shazam! Fury of the Gods
(2023)",(2023),PG-13,130 min,"Action, Adventure, Comedy",6.0,"47        
        Metascore","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","Votes:
98,733"
"50.
Ghosted
(I) (2023)",(I) (2023),PG-13,116 min,"Action, Adventure, Comedy",5.8,"34        
        Metascore","Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","Votes:
47,737"
"1.
Spider-Man: Across the Spider-Verse
(2023)",(2023),PG,140 min,"Animation, Action, Adventure",8.9,"86        
        Metascore","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Votes:
188,247"
"2.
Elemental
(2023)",(2023),PG,101 min,"Animation, Adventure, Comedy",7.1,"58        
        Metascore","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","Votes:
24,636"
"3.
Nimona
(2023)",(2023),PG,101 min,"Animation, Action, Adventure",7.6,"75        
        Metascore","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Votes:
18,691"
"4.
The Super Mario Bros. Movie
(2023)",(2023),PG,92 min,"Animation, Adventure, Comedy",7.1,"46        
        Metascore","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.","Votes:
163,437"
"5.
Ruby Gillman, Teenage Kraken
(2023)",(2023),PG,91 min,"Animation, Action, Adventure",5.8,"50        
        Metascore","A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.","Votes:
3,429"
"7.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Votes:
610,338
| Gross:
$190.24M"
"8.
Puss in Boots: The Last Wish
(2022)",(2022),PG,102 min,"Animation, Adventure, Comedy",7.9,"73        
        Metascore","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Votes:
142,285
| Gross:
$168.46M"
"9.
Suzume
(2022)",(2022),PG,122 min,"Animation, Action, Adventure",7.7,"77        
        Metascore",A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.,"Votes:
22,211"
"11.
Sing 2
(2021)",(2021),PG,110 min,"Animation, Adventure, Comedy",7.4,"49        
        Metascore",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Votes:
77,024
| Gross:
$162.79M"
"12.
Sing
(2016)",(2016),PG,108 min,"Animation, Comedy, Family",7.1,"59        
        Metascore","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","Votes:
180,636
| Gross:
$270.40M"
"14.
Cars
(2006)",(2006),G,117 min,"Animation, Adventure, Comedy",7.2,"73        
        Metascore","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.","Votes:
443,794
| Gross:
$244.08M"
"15.
The Lion King
(1994)",(1994),G,88 min,"Animation, Adventure, Drama",8.5,"88        
        Metascore","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Votes:
1,094,488
| Gross:
$422.78M"
"16.
Spirited Away
(2001)",(2001),PG,125 min,"Animation, Adventure, Family",8.6,"96        
        Metascore","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Votes:
798,748
| Gross:
$10.06M"
"17.
Encanto
(2021)",(2021),PG,102 min,"Animation, Comedy, Family",7.2,"75        
        Metascore",A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"Votes:
240,560
| Gross:
$96.09M"
"18.
Fantastic Mr. Fox
(2009)",(2009),PG,87 min,"Animation, Adventure, Comedy",7.9,"83        
        Metascore",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Votes:
251,428
| Gross:
$21.00M"
"19.
Ratatouille
(2007)",(2007),G,111 min,"Animation, Adventure, Comedy",8.1,"96        
        Metascore",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Votes:
776,072
| Gross:
$206.45M"
"21.
Moana
(I) (2016)",(I) (2016),PG,107 min,"Animation, Adventure, Comedy",7.6,"81        
        Metascore","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","Votes:
355,850
| Gross:
$248.76M"
"22.
Inside Out
(I) (2015)",(I) (2015),PG,95 min,"Animation, Adventure, Comedy",8.1,"94        
        Metascore","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Votes:
744,523
| Gross:
$356.46M"
"23.
Mulan
(1998)",(1998),G,87 min,"Animation, Adventure, Comedy",7.6,"71        
        Metascore","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","Votes:
302,028
| Gross:
$120.62M"
"24.
Toy Story
(1995)",(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"96        
        Metascore",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Votes:
1,026,917
| Gross:
$191.80M"
